dagnummer,datum,temperatuur,zonsopkomst,zonsondergang,regenval,sneeuwval,windsnelheid_max
1,1940-01-02,-7.5,1940-01-02T09:46,1940-01-02T17:46,0.0,0.0,23.4
2,1940-01-03,-6.5,1940-01-03T09:46,1940-01-03T17:47,0.0,0.0,28.1
3,1940-01-04,-2.4,1940-01-04T09:46,1940-01-04T17:48,0.0,0.0,27.4
4,1940-01-05,-3.0,1940-01-05T09:45,1940-01-05T17:49,0.0,0.0,19.4
5,1940-01-06,-0.3,1940-01-06T09:45,1940-01-06T17:50,0.0,0.0,18.4
6,1940-01-07,1.2,1940-01-07T09:45,1940-01-07T17:51,5.8,0.0,24.1
7,1940-01-08,1.3,1940-01-08T09:44,1940-01-08T17:53,0.6,0.0,23.0
8,1940-01-09,-2.9,1940-01-09T09:44,1940-01-09T17:54,0.0,0.0,33.8
9,1940-01-10,-5.4,1940-01-10T09:43,1940-01-10T17:55,0.0,0.0,28.8
10,1940-01-11,-7.1,1940-01-11T09:43,1940-01-11T17:57,0.0,0.0,34.6
11,1940-01-12,-7.2,1940-01-12T09:42,1940-01-12T17:58,0.0,0.0,29.5
12,1940-01-13,-5.0,1940-01-13T09:41,1940-01-13T17:59,0.0,0.0,22.3
13,1940-01-14,-2.1,1940-01-14T09:40,1940-01-14T18:01,0.0,0.0,18.0
14,1940-01-15,-0.1,1940-01-15T09:40,1940-01-15T18:02,0.0,0.0,23.0
15,1940-01-16,-1.1,1940-01-16T09:39,1940-01-16T18:04,1.1,1.4,47.5
16,1940-01-17,-8.9,1940-01-17T09:38,1940-01-17T18:06,0.0,0.7,44.3
17,1940-01-18,-1.9,1940-01-18T09:37,1940-01-18T18:07,0.0,3.5,35.3
18,1940-01-19,-7.0,1940-01-19T09:36,1940-01-19T18:09,0.0,0.0,29.2
19,1940-01-20,-9.2,1940-01-20T09:35,1940-01-20T18:10,0.0,0.0,30.6
20,1940-01-21,-5.1,1940-01-21T09:34,1940-01-21T18:12,0.0,0.98,25.2
21,1940-01-22,-9.4,1940-01-22T09:33,1940-01-22T18:14,0.0,0.77,23.8
22,1940-01-23,-6.0,1940-01-23T09:32,1940-01-23T18:15,0.0,0.0,24.1
23,1940-01-24,-4.8,1940-01-24T09:30,1940-01-24T18:17,0.0,0.0,21.2
24,1940-01-25,-9.7,1940-01-25T09:29,1940-01-25T18:19,0.0,0.0,15.8
25,1940-01-26,-5.5,1940-01-26T09:28,1940-01-26T18:21,0.0,0.21,26.6
26,1940-01-27,-2.0,1940-01-27T09:27,1940-01-27T18:22,1.6,0.49,31.0
27,1940-01-28,-5.0,1940-01-28T09:25,1940-01-28T18:24,0.0,0.0,34.9
28,1940-01-29,-6.1,1940-01-29T09:24,1940-01-29T18:26,0.0,0.0,40.0
29,1940-01-30,-5.7,1940-01-30T09:23,1940-01-30T18:28,0.0,0.98,37.1
30,1940-01-31,0.6,1940-01-31T09:21,1940-01-31T18:29,7.7,0.63,36.4
31,1940-02-01,0.1,1940-02-01T09:20,1940-02-01T18:31,3.6,0.0,29.9
32,1940-02-02,-0.4,1940-02-02T09:18,1940-02-02T18:33,1.2,0.0,14.0
33,1940-02-03,1.6,1940-02-03T09:17,1940-02-03T18:35,0.0,0.0,22.7
34,1940-02-04,1.9,1940-02-04T09:15,1940-02-04T18:36,5.7,0.07,28.1
35,1940-02-05,4.9,1940-02-05T09:13,1940-02-05T18:38,2.7,0.0,20.2
36,1940-02-06,4.7,1940-02-06T09:12,1940-02-06T18:40,0.0,0.0,16.2
37,1940-02-07,5.3,1940-02-07T09:10,1940-02-07T18:42,3.6,0.0,40.0
38,1940-02-08,4.5,1940-02-08T09:08,1940-02-08T18:44,2.7,0.0,43.2
39,1940-02-09,-1.1,1940-02-09T09:06,1940-02-09T18:46,0.0,0.0,34.9
40,1940-02-10,-6.0,1940-02-10T09:05,1940-02-10T18:47,0.0,0.0,38.9
41,1940-02-11,-4.2,1940-02-11T09:03,1940-02-11T18:49,0.0,0.35,35.3
42,1940-02-12,-7.5,1940-02-12T09:01,1940-02-12T18:51,0.0,0.21,38.9
43,1940-02-13,-10.1,1940-02-13T08:59,1940-02-13T18:53,0.0,0.77,33.8
44,1940-02-14,-8.6,1940-02-14T08:57,1940-02-14T18:55,0.0,0.21,40.3
45,1940-02-15,-4.9,1940-02-15T08:55,1940-02-15T18:56,0.0,0.21,29.5
46,1940-02-16,-1.5,1940-02-16T08:54,1940-02-16T18:58,0.0,0.21,32.8
47,1940-02-17,-1.2,1940-02-17T08:52,1940-02-17T19:00,0.0,0.84,42.8
48,1940-02-18,-2.6,1940-02-18T08:50,1940-02-18T19:02,0.0,0.0,25.2
49,1940-02-19,0.0,1940-02-19T08:48,1940-02-19T19:04,3.1,1.96,26.3
50,1940-02-20,1.5,1940-02-20T08:46,1940-02-20T19:05,0.7,0.0,35.6
51,1940-02-21,6.8,1940-02-21T08:44,1940-02-21T19:07,0.5,0.0,33.5
52,1940-02-22,7.2,1940-02-22T08:42,1940-02-22T19:09,0.0,0.0,36.4
53,1940-02-23,8.4,1940-02-23T08:40,1940-02-23T19:11,3.3,0.0,38.5
54,1940-02-24,7.8,1940-02-24T08:38,1940-02-24T19:12,2.6,0.0,44.6
55,1940-02-25,5.1,1940-02-25T08:36,1940-02-25T19:14,0.1,0.0,25.6
56,1940-02-26,4.7,1940-02-26T08:34,1940-02-26T19:16,0.2,0.0,32.0
57,1940-02-27,8.7,1940-02-27T08:31,1940-02-27T19:18,0.6,0.0,40.3
58,1940-02-28,10.6,1940-02-28T08:29,1940-02-28T19:20,0.0,0.0,38.2
59,1940-02-29,5.4,1940-02-29T08:27,1940-02-29T19:21,0.0,0.0,32.4
60,1940-03-01,2.0,1940-03-01T08:25,1940-03-01T19:23,0.0,0.0,46.4
61,1940-03-02,0.7,1940-03-02T08:23,1940-03-02T19:25,0.0,0.0,40.0
62,1940-03-03,0.9,1940-03-03T08:21,1940-03-03T19:27,0.0,0.0,28.8
63,1940-03-04,3.4,1940-03-04T08:18,1940-03-04T19:28,0.0,0.0,42.1
64,1940-03-05,3.1,1940-03-05T08:16,1940-03-05T19:30,0.9,0.0,60.1
65,1940-03-06,2.5,1940-03-06T08:14,1940-03-06T19:32,0.8,0.0,46.4
66,1940-03-07,1.2,1940-03-07T08:12,1940-03-07T19:33,1.2,0.14,34.6
67,1940-03-08,0.9,1940-03-08T08:10,1940-03-08T19:35,0.0,0.0,20.9
68,1940-03-09,4.8,1940-03-09T08:08,1940-03-09T19:37,0.0,0.0,42.8
69,1940-03-10,5.1,1940-03-10T08:05,1940-03-10T19:39,0.0,0.0,27.7
70,1940-03-11,8.7,1940-03-11T08:03,1940-03-11T19:40,3.8,0.0,40.3
71,1940-03-12,10.8,1940-03-12T08:01,1940-03-12T19:42,1.7,0.0,56.9
72,1940-03-13,10.3,1940-03-13T07:59,1940-03-13T19:44,7.8,0.0,69.5
73,1940-03-14,6.2,1940-03-14T07:57,1940-03-14T19:45,6.1,0.0,63.7
74,1940-03-15,2.9,1940-03-15T07:54,1940-03-15T19:47,0.0,0.0,50.0
75,1940-03-16,5.4,1940-03-16T07:52,1940-03-16T19:49,0.1,0.0,42.5
76,1940-03-17,5.5,1940-03-17T07:50,1940-03-17T19:50,10.8,0.0,41.4
77,1940-03-18,13.5,1940-03-18T07:47,1940-03-18T19:52,4.9,0.0,43.6
78,1940-03-19,11.7,1940-03-19T07:45,1940-03-19T19:54,1.7,0.0,59.8
79,1940-03-20,8.0,1940-03-20T07:43,1940-03-20T19:55,1.9,0.0,65.2
80,1940-03-21,8.7,1940-03-21T07:41,1940-03-21T19:57,0.3,0.0,45.0
81,1940-03-22,10.3,1940-03-22T07:38,1940-03-22T19:59,0.9,0.0,28.1
82,1940-03-23,9.5,1940-03-23T07:36,1940-03-23T20:00,1.7,0.0,35.3
83,1940-03-24,9.8,1940-03-24T07:34,1940-03-24T20:02,1.3,0.0,31.3
84,1940-03-25,11.0,1940-03-25T07:31,1940-03-25T20:04,0.0,0.0,28.8
85,1940-03-26,11.7,1940-03-26T07:29,1940-03-26T20:05,3.9,0.0,37.8
86,1940-03-27,4.4,1940-03-27T07:27,1940-03-27T20:07,3.8,0.0,49.0
87,1940-03-28,2.4,1940-03-28T07:25,1940-03-28T20:09,2.7,0.0,50.8
88,1940-03-29,3.8,1940-03-29T07:23,1940-03-29T20:10,0.5,0.0,36.0
89,1940-03-30,4.5,1940-03-30T07:20,1940-03-30T20:12,2.7,0.0,42.8
90,1940-03-31,8.3,1940-03-31T07:18,1940-03-31T20:14,0.0,0.0,52.9
91,1940-04-01,12.8,1940-04-01T07:16,1940-04-01T20:15,0.0,0.0,49.7
92,1940-04-02,9.1,1940-04-02T07:14,1940-04-02T20:17,5.2,0.0,32.8
93,1940-04-03,9.1,1940-04-03T07:11,1940-04-03T20:19,4.7,0.0,38.9
94,1940-04-04,9.2,1940-04-04T07:09,1940-04-04T20:20,4.0,0.0,51.8
95,1940-04-05,6.9,1940-04-05T07:07,1940-04-05T20:22,1.6,0.0,53.3
96,1940-04-06,6.5,1940-04-06T07:05,1940-04-06T20:24,0.0,0.0,34.9
97,1940-04-07,6.9,1940-04-07T07:02,1940-04-07T20:25,0.0,0.0,22.0
98,1940-04-08,7.5,1940-04-08T07:00,1940-04-08T20:27,2.7,0.0,36.7
99,1940-04-09,5.8,1940-04-09T06:58,1940-04-09T20:29,2.4,0.0,46.8
100,1940-04-10,5.2,1940-04-10T06:56,1940-04-10T20:30,2.7,0.0,40.3
101,1940-04-11,3.9,1940-04-11T06:54,1940-04-11T20:32,0.7,0.0,37.8
102,1940-04-12,3.1,1940-04-12T06:51,1940-04-12T20:34,3.5,0.0,28.8
103,1940-04-13,5.8,1940-04-13T06:49,1940-04-13T20:35,0.0,0.0,23.0
104,1940-04-14,7.7,1940-04-14T06:47,1940-04-14T20:37,3.9,0.0,46.1
105,1940-04-15,6.8,1940-04-15T06:45,1940-04-15T20:39,11.7,0.0,73.1
106,1940-04-16,6.7,1940-04-16T06:43,1940-04-16T20:40,4.3,0.0,46.4
107,1940-04-17,7.9,1940-04-17T06:41,1940-04-17T20:42,2.6,0.0,40.3
108,1940-04-18,9.2,1940-04-18T06:39,1940-04-18T20:43,0.2,0.0,25.2
109,1940-04-19,9.7,1940-04-19T06:37,1940-04-19T20:45,1.7,0.0,77.0
110,1940-04-20,13.9,1940-04-20T06:35,1940-04-20T20:47,0.0,0.0,43.6
111,1940-04-21,16.0,1940-04-21T06:33,1940-04-21T20:48,0.1,0.0,29.9
112,1940-04-22,16.9,1940-04-22T06:31,1940-04-22T20:50,0.0,0.0,36.4
113,1940-04-23,18.3,1940-04-23T06:29,1940-04-23T20:52,0.0,0.0,38.2
114,1940-04-24,18.3,1940-04-24T06:27,1940-04-24T20:53,1.7,0.0,31.3
115,1940-04-25,12.4,1940-04-25T06:25,1940-04-25T20:55,1.7,0.0,57.6
116,1940-04-26,11.2,1940-04-26T06:23,1940-04-26T20:57,1.6,0.0,38.5
117,1940-04-27,13.1,1940-04-27T06:21,1940-04-27T20:58,1.8,0.0,27.0
118,1940-04-28,11.1,1940-04-28T06:19,1940-04-28T21:00,0.3,0.0,25.9
119,1940-04-29,12.7,1940-04-29T06:17,1940-04-29T21:02,3.3,0.0,14.8
120,1940-04-30,13.2,1940-04-30T06:15,1940-04-30T21:03,4.2,0.0,29.2
121,1940-05-01,13.0,1940-05-01T06:13,1940-05-01T21:05,17.9,0.0,34.9
122,1940-05-02,13.3,1940-05-02T06:11,1940-05-02T21:06,3.4,0.0,17.3
123,1940-05-03,15.3,1940-05-03T06:09,1940-05-03T21:08,1.8,0.0,29.5
124,1940-05-04,14.4,1940-05-04T06:08,1940-05-04T21:10,2.1,0.0,28.1
125,1940-05-05,11.0,1940-05-05T06:06,1940-05-05T21:11,11.3,0.0,25.9
126,1940-05-06,12.1,1940-05-06T06:04,1940-05-06T21:13,0.8,0.0,32.8
127,1940-05-07,11.6,1940-05-07T06:03,1940-05-07T21:14,0.2,0.0,32.4
128,1940-05-08,12.3,1940-05-08T06:01,1940-05-08T21:16,0.2,0.0,18.0
129,1940-05-09,14.6,1940-05-09T05:59,1940-05-09T21:17,0.0,0.0,31.3
130,1940-05-10,14.9,1940-05-10T05:58,1940-05-10T21:19,0.0,0.0,25.6
131,1940-05-11,11.3,1940-05-11T05:56,1940-05-11T21:20,0.0,0.0,39.2
132,1940-05-12,8.9,1940-05-12T05:55,1940-05-12T21:22,0.0,0.0,38.9
133,1940-05-13,9.7,1940-05-13T05:53,1940-05-13T21:23,0.1,0.0,37.8
134,1940-05-14,15.5,1940-05-14T05:52,1940-05-14T21:25,0.0,0.0,28.4
135,1940-05-15,17.7,1940-05-15T05:50,1940-05-15T21:26,0.0,0.0,31.7
136,1940-05-16,12.9,1940-05-16T05:49,1940-05-16T21:28,0.0,0.0,46.4
